序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
75,臺北市,2014/11/24,中山,-,-,-,-,29,-,-,-,-,-,-,-
76,臺北市,2014/11/24,中山,5.4,0.99,24.5,80.0,-,53,14.24,38.34,1.46,24.88,-,69.28
77,臺北市,2014/11/23,中山,-,-,-,-,8,-,-,-,-,-,-,-
78,臺北市,2014/11/23,中山,1.9,0.4,25.7,36.0,-,22,5.81,16.45,2.6,25.77,-,65.3
79,臺北市,2014/11/22,中山,-,-,-,-,10,-,-,-,-,-,-,-
80,臺北市,2014/11/22,中山,3.4,0.59,16.9,43.0,-,34,9.58,24.7,2.1,24.59,-,72.03
81,臺北市,2014/11/21,中山,-,-,-,-,12,-,-,-,-,-,-,-
82,臺北市,2014/11/21,中山,4.1,0.67,21.2,38.0,-,38,12.13,26.32,1.8,23.9,-,74.63
83,臺北市,2014/11/20,中山,-,-,-,-,12,-,-,-,-,-,-,-
84,臺北市,2014/11/20,中山,3.8,0.6,23.7,43.0,-,34,9.51,24.03,2.27,22.29,-,77.57
85,臺北市,2014/11/19,中山,-,-,-,-,12,-,-,-,-,-,-,-
86,臺北市,2014/11/19,中山,2.9,0.56,22.9,57.0,-,34,9.5,24.73,2.3,20.73,-,69.88
87,臺北市,2014/11/18,中山,-,-,-,-,29,-,-,-,-,-,-,-
88,臺北市,2014/11/18,中山,3.0,0.68,26.7,85.0,-,36,9.21,26.44,2.0,19.23,-,73.64
89,臺北市,2014/11/17,中山,-,-,-,-,12,-,-,-,-,-,-,-
90,臺北市,2014/11/17,中山,1.7,0.57,31.7,38.0,-,29,6.92,22.35,1.72,20.8,-,81.08
91,臺北市,2014/11/16,中山,-,-,-,-,8,-,-,-,-,-,-,-
92,臺北市,2014/11/16,中山,3.2,0.59,15.2,40.0,-,34,11.28,23.13,1.56,22.6,-,84.0
93,臺北市,2014/11/15,中山,-,-,-,-,11,-,-,-,-,-,-,-
94,臺北市,2014/11/15,中山,2.1,0.51,20.2,50.0,-,34,8.36,25.71,2.54,21.22,-,79.93
95,臺北市,2014/11/14,中山,-,-,-,-,15,-,-,-,-,-,-,-
96,臺北市,2014/11/14,中山,2.2,0.54,22.5,59.0,-,35,9.58,25.33,2.87,19.49,-,78.71
97,臺北市,2014/11/13,中山,-,-,-,-,35,-,-,-,-,-,-,-
98,臺北市,2014/11/13,中山,3.1,0.71,26.6,89.0,-,37,8.86,28.32,2.45,18.69,-,81.69
99,臺北市,2014/11/12,中山,-,-,-,-,22,-,-,-,-,-,-,-
100,臺北市,2014/11/12,中山,2.6,0.79,23.2,59.0,-,37,7.78,29.25,1.84,21.02,-,80.98
101,臺北市,2014/11/11,中山,-,-,-,-,19,-,-,-,-,-,-,-
102,臺北市,2014/11/11,中山,2.3,0.71,23.0,59.0,-,38,10.76,26.99,2.19,22.66,-,70.27
103,臺北市,2014/11/10,中山,-,-,-,-,14,-,-,-,-,-,-,-
104,臺北市,2014/11/10,中山,2.1,0.6,27.5,58.0,-,31,7.17,24.06,2.36,22.52,-,71.73
