序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
521,臺北市,2014/04/15,中山,-,-,-,-,21,-,-,-,-,-,-,-
522,臺北市,2014/04/15,中山,1.7,0.52,41.4,75.0,-,27,5.19,21.4,2.91,23.06,-,61.04
523,臺北市,2014/04/14,中山,-,-,-,-,18,-,-,-,-,-,-,-
524,臺北市,2014/04/14,中山,0.9,0.53,45.7,60.0,-,25,3.89,21.08,2.36,20.59,-,68.69
525,臺北市,2014/04/13,中山,-,-,-,-,22,-,-,-,-,-,-,-
526,臺北市,2014/04/13,中山,2.3,0.58,28.8,66.0,-,25,5.03,20.34,2.29,25.69,-,69.8
527,臺北市,2014/04/12,中山,-,-,-,-,34,-,-,-,-,-,-,-
528,臺北市,2014/04/12,中山,6.5,0.89,31.2,80.0,-,49,11.18,37.54,1.53,26.26,-,64.42
529,臺北市,2014/04/11,中山,-,-,-,-,19,-,-,-,-,-,-,-
530,臺北市,2014/04/11,中山,3.3,0.74,46.2,64.0,-,39,6.0,32.54,1.51,25.56,-,62.48
531,臺北市,2014/04/10,中山,-,-,-,-,17,-,-,-,-,-,-,-
532,臺北市,2014/04/10,中山,3.8,0.59,39.0,52.0,-,29,5.38,23.77,2.51,23.49,-,68.98
533,臺北市,2014/04/09,中山,-,-,-,-,21,-,-,-,-,-,-,-
534,臺北市,2014/04/09,中山,0.9,0.85,19.3,59.0,-,42,11.21,30.77,1.74,22.34,-,80.69
535,臺北市,2014/04/08,中山,-,-,-,-,31,-,-,-,-,-,-,-
536,臺北市,2014/04/08,中山,3.9,0.99,20.4,74.0,-,52,14.88,37.43,1.62,22.41,-,81.8
537,臺北市,2014/04/07,中山,-,-,-,-,26,-,-,-,-,-,-,-
538,臺北市,2014/04/07,中山,2.6,1.11,26.0,66.0,-,64,21.65,42.63,1.26,20.15,-,85.84
539,臺北市,2014/04/06,中山,-,-,-,-,27,-,-,-,-,-,-,-
540,臺北市,2014/04/06,中山,2.4,0.43,52.9,89.0,-,20,2.86,17.19,2.82,21.07,-,67.38
541,臺北市,2014/04/05,中山,-,-,-,-,27,-,-,-,-,-,-,-
542,臺北市,2014/04/05,中山,4.2,0.54,48.5,78.0,-,24,3.22,21.18,1.9,22.35,-,55.06
543,臺北市,2014/04/04,中山,-,-,-,-,25,-,-,-,-,-,-,-
544,臺北市,2014/04/04,中山,2.9,0.51,46.2,85.0,-,25,3.33,21.39,2.23,19.15,-,63.97
545,臺北市,2014/04/03,中山,-,-,-,-,26,-,-,-,-,-,-,-
546,臺北市,2014/04/03,中山,3.8,0.89,10.8,68.0,-,48,12.07,35.63,1.41,19.56,-,84.94
547,臺北市,2014/04/02,中山,-,-,-,-,23,-,-,-,-,-,-,-
548,臺北市,2014/04/02,中山,1.6,0.72,20.6,57.0,-,38,8.97,29.49,1.55,19.49,-,81.04
549,臺北市,2014/04/01,中山,-,-,-,-,16,-,-,-,-,-,-,-
550,臺北市,2014/04/01,中山,1.8,0.84,30.4,48.0,-,40,10.34,29.24,1.69,18.74,-,85.2
551,臺北市,2014/03/31,中山,-,-,-,-,34,-,-,-,-,-,-,-
552,臺北市,2014/03/31,中山,2.6,0.86,35.0,99.0,-,43,10.0,33.34,1.83,22.47,-,74.81
553,臺北市,2014/03/30,中山,-,-,-,-,36,-,-,-,-,-,-,-
554,臺北市,2014/03/30,中山,3.8,0.63,43.9,108.0,-,27,6.07,20.75,2.64,23.48,-,61.83
555,臺北市,2014/03/29,中山,-,-,-,-,27,-,-,-,-,-,-,-
556,臺北市,2014/03/29,中山,5.0,0.97,15.0,79.0,-,52,22.45,29.76,1.64,26.73,-,72.75
557,臺北市,2014/03/28,中山,-,-,-,-,21,-,-,-,-,-,-,-
558,臺北市,2014/03/28,中山,3.3,0.86,18.7,60.0,-,45,15.04,29.74,1.63,26.5,-,69.97
559,臺北市,2014/03/27,中山,-,-,-,-,20,-,-,-,-,-,-,-
560,臺北市,2014/03/27,中山,4.3,0.87,17.5,63.0,-,44,14.88,29.6,1.79,25.35,-,73.48
561,臺北市,2014/03/26,中山,-,-,-,-,28,-,-,-,-,-,-,-
562,臺北市,2014/03/26,中山,3.8,0.98,19.1,69.0,-,53,15.36,38.01,1.48,25.57,-,64.45
563,臺北市,2014/03/25,中山,-,-,-,-,31,-,-,-,-,-,-,-
564,臺北市,2014/03/25,中山,4.5,1.01,27.9,89.0,-,58,16.28,41.93,1.3,23.48,-,63.75
565,臺北市,2014/03/24,中山,-,-,-,-,13,-,-,-,-,-,-,-
566,臺北市,2014/03/24,中山,2.0,0.56,28.1,48.0,-,31,8.03,23.43,2.23,21.91,-,62.96
567,臺北市,2014/03/23,中山,-,-,-,-,12,-,-,-,-,-,-,-
568,臺北市,2014/03/23,中山,1.8,0.38,32.4,53.0,-,22,4.25,18.04,2.66,20.16,-,60.41
569,臺北市,2014/03/22,中山,-,-,-,-,14,-,-,-,-,-,-,-
570,臺北市,2014/03/22,中山,1.0,0.43,31.4,55.0,-,28,5.83,21.76,2.78,17.02,-,59.73
571,臺北市,2014/03/21,中山,-,-,-,-,18,-,-,-,-,-,-,-
572,臺北市,2014/03/21,中山,1.5,0.53,34.2,76.0,-,31,7.34,23.73,2.18,14.66,-,60.67
573,臺北市,2014/03/20,中山,-,-,-,-,29,-,-,-,-,-,-,-
574,臺北市,2014/03/20,中山,2.8,0.87,22.1,76.0,-,44,12.4,31.3,1.82,18.94,-,76.58
575,臺北市,2014/03/19,中山,-,-,-,-,38,-,-,-,-,-,-,-
576,臺北市,2014/03/19,中山,4.2,1.37,15.1,94.0,-,70,25.12,44.68,1.27,24.92,-,70.92
577,臺北市,2014/03/18,中山,-,-,-,-,38,-,-,-,-,-,-,-
578,臺北市,2014/03/18,中山,6.0,1.46,14.6,88.0,-,84,40.43,43.49,1.35,23.2,-,71.4
579,臺北市,2014/03/17,中山,-,-,-,-,45,-,-,-,-,-,-,-
580,臺北市,2014/03/17,中山,5.4,1.61,17.0,121.0,-,91,40.76,50.52,1.14,21.35,-,69.32
581,臺北市,2014/03/16,中山,-,-,-,-,39,-,-,-,-,-,-,-
582,臺北市,2014/03/16,中山,4.0,1.09,17.7,102.0,-,63,18.25,44.82,1.04,19.51,-,63.31
583,臺北市,2014/03/15,中山,-,-,-,-,21,-,-,-,-,-,-,-
584,臺北市,2014/03/15,中山,2.5,0.58,41.0,70.0,-,30,5.1,25.0,2.24,18.17,-,52.18
585,臺北市,2014/03/14,中山,-,-,-,-,37,-,-,-,-,-,-,-
586,臺北市,2014/03/14,中山,4.8,0.72,34.2,110.0,-,39,9.84,28.77,1.98,15.22,-,56.03
587,臺北市,2014/03/13,中山,-,-,-,-,33,-,-,-,-,-,-,-
588,臺北市,2014/03/13,中山,3.5,1.01,18.5,80.0,-,55,19.34,35.29,1.61,16.59,-,82.26
589,臺北市,2014/03/12,中山,-,-,-,-,43,-,-,-,-,-,-,-
590,臺北市,2014/03/12,中山,4.7,1.32,4.8,112.0,-,80,40.2,40.28,1.27,18.34,-,85.41
591,臺北市,2014/03/11,中山,-,-,-,-,24,-,-,-,-,-,-,-
592,臺北市,2014/03/11,中山,0.6,0.8,26.4,76.0,-,42,10.13,31.77,1.73,19.28,-,67.78
593,臺北市,2014/03/10,中山,-,-,-,-,30,-,-,-,-,-,-,-
594,臺北市,2014/03/10,中山,2.3,0.61,34.7,88.0,-,34,5.99,27.55,2.63,15.84,-,68.02
595,臺北市,2014/03/09,中山,-,-,-,-,14,-,-,-,-,-,-,-
596,臺北市,2014/03/09,中山,1.1,0.58,26.0,47.0,-,32,7.06,25.13,1.44,14.08,-,81.63
597,臺北市,2014/03/08,中山,-,-,-,-,13,-,-,-,-,-,-,-
598,臺北市,2014/03/08,中山,2.7,0.97,12.2,42.0,-,58,17.46,40.34,1.16,15.68,-,94.23
599,臺北市,2014/03/07,中山,-,-,-,-,7,-,-,-,-,-,-,-
600,臺北市,2014/03/07,中山,1.9,0.6,21.6,33.0,-,38,9.59,28.47,2.24,15.46,-,90.34
601,臺北市,2014/03/06,中山,-,-,-,-,15,-,-,-,-,-,-,-
602,臺北市,2014/03/06,中山,1.7,0.61,21.0,45.0,-,40,11.0,28.83,2.07,14.42,-,88.8
603,臺北市,2014/03/05,中山,-,-,-,-,13,-,-,-,-,-,-,-
604,臺北市,2014/03/05,中山,1.7,0.65,22.5,45.0,-,39,10.25,28.3,1.74,15.17,-,79.96
605,臺北市,2014/03/04,中山,-,-,-,-,18,-,-,-,-,-,-,-
606,臺北市,2014/03/04,中山,3.5,0.88,13.9,50.0,-,51,17.43,33.79,1.34,16.44,-,90.69
607,臺北市,2014/03/03,中山,-,-,-,-,12,-,-,-,-,-,-,-
608,臺北市,2014/03/03,中山,1.4,0.66,24.9,48.0,-,37,9.48,27.92,1.84,15.94,-,83.9
609,臺北市,2014/03/02,中山,-,-,-,-,15,-,-,-,-,-,-,-
610,臺北市,2014/03/02,中山,2.9,0.51,27.6,40.0,-,26,5.12,20.62,2.06,16.16,-,82.71
611,臺北市,2014/03/01,中山,-,-,-,-,39,-,-,-,-,-,-,-
612,臺北市,2014/03/01,中山,6.6,1.11,12.3,102.0,-,70,29.04,41.0,1.38,20.78,-,78.04
613,臺北市,2014/02/28,中山,-,-,-,-,14,-,-,-,-,-,-,-
614,臺北市,2014/02/28,中山,3.4,0.7,27.7,56.0,-,37,12.11,24.44,2.19,22.22,-,71.4
615,臺北市,2014/02/27,中山,-,-,-,-,19,-,-,-,-,-,-,-
616,臺北市,2014/02/27,中山,2.8,0.66,27.3,58.0,-,33,8.12,24.71,2.39,19.86,-,77.33
617,臺北市,2014/02/26,中山,-,-,-,-,39,-,-,-,-,-,-,-
618,臺北市,2014/02/26,中山,6.8,1.42,8.3,101.0,-,90,40.69,49.29,1.37,20.88,-,75.08
619,臺北市,2014/02/25,中山,-,-,-,-,47,-,-,-,-,-,-,-
620,臺北市,2014/02/25,中山,6.2,1.55,15.5,132.0,-,93,44.0,48.59,1.47,20.19,-,74.11
621,臺北市,2014/02/24,中山,-,-,-,-,27,-,-,-,-,-,-,-
622,臺北市,2014/02/24,中山,3.2,0.84,26.2,80.0,-,48,16.11,32.29,2.04,20.75,-,64.5
623,臺北市,2014/02/23,中山,-,-,-,-,11,-,-,-,-,-,-,-
624,臺北市,2014/02/23,中山,4.1,0.41,28.8,42.0,-,25,5.45,19.26,2.54,19.57,-,64.19
625,臺北市,2014/02/22,中山,-,-,-,-,10,-,-,-,-,-,-,-
626,臺北市,2014/02/22,中山,2.3,0.53,23.2,48.0,-,33,8.26,25.13,1.98,17.86,-,72.01
627,臺北市,2014/02/21,中山,-,-,-,-,25,-,-,-,-,-,-,-
628,臺北市,2014/02/21,中山,4.2,0.59,27.2,66.0,-,35,9.2,25.82,2.21,15.1,-,59.91
629,臺北市,2014/02/20,中山,-,-,-,-,28,-,-,-,-,-,-,-
630,臺北市,2014/02/20,中山,2.5,0.55,30.9,74.0,-,28,6.45,21.92,1.79,12.63,-,59.57
631,臺北市,2014/02/19,中山,-,-,-,-,10,-,-,-,-,-,-,-
632,臺北市,2014/02/19,中山,1.3,0.79,13.8,33.0,-,50,22.45,27.27,1.27,12.9,-,87.26
633,臺北市,2014/02/18,中山,-,-,-,-,23,-,-,-,-,-,-,-
634,臺北市,2014/02/18,中山,2.7,0.9,11.1,62.0,-,49,16.08,32.77,1.51,17.96,-,84.9
635,臺北市,2014/02/17,中山,-,-,-,-,31,-,-,-,-,-,-,-
636,臺北市,2014/02/17,中山,5.6,1.42,13.6,96.0,-,88,38.99,49.3,1.11,20.43,-,73.75
637,臺北市,2014/02/16,中山,-,-,-,-,12,-,-,-,-,-,-,-
638,臺北市,2014/02/16,中山,3.1,0.71,18.6,42.0,-,43,15.82,26.92,1.41,17.99,-,77.59
639,臺北市,2014/02/15,中山,-,-,-,-,17,-,-,-,-,-,-,-
640,臺北市,2014/02/15,中山,2.0,0.57,22.7,66.0,-,34,7.65,25.91,2.24,14.47,-,76.23
641,臺北市,2014/02/14,中山,-,-,-,-,16,-,-,-,-,-,-,-
642,臺北市,2014/02/14,中山,1.7,0.86,14.8,50.0,-,52,19.62,32.49,1.23,12.87,-,87.71
643,臺北市,2014/02/13,中山,-,-,-,-,12,-,-,-,-,-,-,-
644,臺北市,2014/02/13,中山,4.2,1.31,7.8,52.0,-,84,45.67,38.79,1.09,14.47,-,90.7
645,臺北市,2014/02/12,中山,-,-,-,-,20,-,-,-,-,-,-,-
646,臺北市,2014/02/12,中山,4.0,1.64,4.8,49.0,-,127,87.15,39.47,0.91,12.02,-,95.25
647,臺北市,2014/02/11,中山,-,-,-,-,20,-,-,-,-,-,-,-
648,臺北市,2014/02/11,中山,2.2,0.72,15.4,50.0,-,45,17.85,27.08,1.32,9.45,-,83.54
649,臺北市,2014/02/10,中山,-,-,-,-,8,-,-,-,-,-,-,-
650,臺北市,2014/02/10,中山,0.8,0.5,25.0,30.0,-,24,7.3,16.6,1.59,11.06,-,75.89
651,臺北市,2014/02/09,中山,-,-,-,-,7,-,-,-,-,-,-,-
652,臺北市,2014/02/09,中山,2.0,0.51,22.3,30.0,-,27,6.87,20.4,1.71,14.02,-,89.73
653,臺北市,2014/02/08,中山,-,-,-,-,8,-,-,-,-,-,-,-
654,臺北市,2014/02/08,中山,1.8,0.52,16.7,34.0,-,28,7.77,20.03,2.18,15.12,-,85.98
655,臺北市,2014/02/07,中山,-,-,-,-,16,-,-,-,-,-,-,-
656,臺北市,2014/02/07,中山,1.0,0.85,11.5,50.0,-,48,20.85,27.44,1.04,17.55,-,92.22
657,臺北市,2014/02/06,中山,-,-,-,-,21,-,-,-,-,-,-,-
658,臺北市,2014/02/06,中山,2.6,1.47,8.2,70.0,-,80,47.77,32.25,1.2,19.09,-,87.6
659,臺北市,2014/02/05,中山,-,-,-,-,9,-,-,-,-,-,-,-
660,臺北市,2014/02/05,中山,2.4,0.75,21.0,46.0,-,45,17.25,27.28,2.23,17.64,-,87.52
661,臺北市,2014/02/04,中山,-,-,-,-,19,-,-,-,-,-,-,-
662,臺北市,2014/02/04,中山,2.3,0.5,36.7,44.0,-,17,3.74,13.33,2.92,16.01,-,80.51
663,臺北市,2014/02/03,中山,-,-,-,-,28,-,-,-,-,-,-,-
664,臺北市,2014/02/03,中山,3.2,0.67,26.0,85.0,-,34,14.05,20.13,1.99,21.81,-,69.65
665,臺北市,2014/02/02,中山,-,-,-,-,18,-,-,-,-,-,-,-
666,臺北市,2014/02/02,中山,5.4,0.75,14.3,46.0,-,48,20.68,27.52,1.06,21.74,-,67.82
667,臺北市,2014/02/01,中山,-,-,-,-,25,-,-,-,-,-,-,-
668,臺北市,2014/02/01,中山,2.5,0.69,25.0,62.0,-,40,9.82,29.9,1.31,21.58,-,56.2
669,臺北市,2014/01/31,中山,-,-,-,-,30,-,-,-,-,-,-,-
670,臺北市,2014/01/31,中山,3.0,0.56,26.9,70.0,-,32,6.16,26.15,2.22,-,21.74,62.49
671,臺北市,2014/01/30,中山,-,-,-,-,38,-,-,-,-,-,-,-
672,臺北市,2014/01/30,中山,5.3,0.84,26.3,91.0,-,50,12.14,37.67,1.25,-,19.68,59.05
673,臺北市,2014/01/29,中山,-,-,-,-,13,-,-,-,-,-,-,-
674,臺北市,2014/01/29,中山,3.1,0.84,20.0,67.0,-,53,23.03,29.72,1.8,-,20.37,64.93
675,臺北市,2014/01/28,中山,-,-,-,-,11,-,-,-,-,-,-,-
676,臺北市,2014/01/28,中山,1.9,0.64,20.6,45.0,-,43,13.33,29.29,2.09,-,19.84,60.15
677,臺北市,2014/01/27,中山,-,-,-,-,11,-,-,-,-,-,-,-
678,臺北市,2014/01/27,中山,3.0,0.55,24.7,54.0,-,35,9.66,25.55,2.15,-,17.77,60.84
679,臺北市,2014/01/26,中山,-,-,-,-,42,-,-,-,-,-,-,-
680,臺北市,2014/01/26,中山,2.8,0.62,34.1,107.0,-,31,6.36,24.63,1.93,-,16.88,66.7
681,臺北市,2014/01/25,中山,-,-,-,-,20,-,-,-,-,-,-,-
682,臺北市,2014/01/25,中山,3.8,1.04,15.8,63.0,-,73,32.29,40.57,1.27,-,18.77,54.71
683,臺北市,2014/01/24,中山,-,-,-,-,19,-,-,-,-,-,-,-
684,臺北市,2014/01/24,中山,4.8,1.14,14.3,67.0,-,87,41.41,45.88,1.42,-,17.42,54.91
685,臺北市,2014/01/23,中山,-,-,-,-,11,-,-,-,-,-,-,-
686,臺北市,2014/01/23,中山,1.5,0.66,12.8,53.0,-,50,20.48,29.75,2.03,-,15.88,52.9
687,臺北市,2014/01/22,中山,-,-,-,-,17,-,-,-,-,-,-,-
688,臺北市,2014/01/22,中山,2.4,0.48,20.4,75.0,-,32,9.29,22.82,1.82,-,12.87,52.29
689,臺北市,2014/01/21,中山,-,-,-,-,41,-,-,-,-,-,-,-
690,臺北市,2014/01/21,中山,6.1,0.61,27.0,166.0,-,27,6.1,20.85,2.18,-,13.19,52.39
691,臺北市,2014/01/20,中山,-,-,-,-,27,-,-,-,-,-,-,-
692,臺北市,2014/01/20,中山,3.8,0.75,19.1,71.0,-,41,12.56,28.35,1.54,-,16.25,67.11
693,臺北市,2014/01/19,中山,-,-,-,-,26,-,-,-,-,-,-,-
694,臺北市,2014/01/19,中山,2.4,0.54,25.9,82.0,-,29,7.97,21.0,2.75,-,16.77,50.96
695,臺北市,2014/01/18,中山,-,-,-,-,46,-,-,-,-,-,-,-
696,臺北市,2014/01/18,中山,6.5,0.64,33.1,115.0,-,32,4.41,27.37,1.87,-,15.01,54.71
697,臺北市,2014/01/17,中山,-,-,-,-,16,-,-,-,-,-,-,-
698,臺北市,2014/01/17,中山,1.8,0.59,17.3,58.0,-,39,11.06,27.81,2.02,-,16.91,60.85
699,臺北市,2014/01/16,中山,-,-,-,-,17,-,-,-,-,-,-,-
700,臺北市,2014/01/16,中山,1.9,0.8,12.1,67.0,-,57,24.69,32.29,1.95,-,15.85,61.74
701,臺北市,2014/01/15,中山,-,-,-,-,21,-,-,-,-,-,-,-
702,臺北市,2014/01/15,中山,1.5,0.55,22.0,64.0,-,34,10.18,23.33,2.41,-,15.0,57.93
703,臺北市,2014/01/14,中山,-,-,-,-,14,-,-,-,-,-,-,-
704,臺北市,2014/01/14,中山,2.5,0.54,22.6,48.0,-,31,9.49,21.74,1.55,-,14.78,78.98
705,臺北市,2014/01/13,中山,-,-,-,-,24,-,-,-,-,-,-,-
706,臺北市,2014/01/13,中山,2.2,0.71,18.8,59.0,-,36,10.65,24.94,1.7,-,16.36,78.33
707,臺北市,2014/01/12,中山,-,-,-,-,18,-,-,-,-,-,-,-
708,臺北市,2014/01/12,中山,3.7,0.69,14.1,68.0,-,39,14.03,24.54,1.41,-,17.76,79.46
709,臺北市,2014/01/11,中山,-,-,-,-,11,-,-,-,-,-,-,-
710,臺北市,2014/01/11,中山,1.3,0.67,18.1,42.0,-,39,14.16,25.14,2.0,-,19.81,67.65
711,臺北市,2014/01/10,中山,-,-,-,-,15,-,-,-,-,-,-,-
712,臺北市,2014/01/10,中山,1.8,0.58,17.7,64.0,-,35,10.72,24.36,2.62,-,15.31,78.05
713,臺北市,2014/01/09,中山,-,-,-,-,16,-,-,-,-,-,-,-
714,臺北市,2014/01/09,中山,1.8,0.63,19.0,50.0,-,35,10.27,24.24,1.63,-,13.95,78.3
715,臺北市,2014/01/08,中山,-,-,-,-,31,-,-,-,-,-,-,-
716,臺北市,2014/01/08,中山,5.2,1.05,12.8,80.0,-,61,22.95,37.92,1.48,-,18.08,74.58
717,臺北市,2014/01/07,中山,-,-,-,-,29,-,-,-,-,-,-,-
718,臺北市,2014/01/07,中山,3.8,1.39,16.4,90.0,-,92,48.41,43.09,1.27,-,20.54,62.69
719,臺北市,2014/01/06,中山,-,-,-,-,22,-,-,-,-,-,-,-
720,臺北市,2014/01/06,中山,2.4,0.65,19.4,69.0,-,43,13.33,29.87,2.19,-,18.43,60.05
721,臺北市,2014/01/05,中山,-,-,-,-,58,-,-,-,-,-,-,-
722,臺北市,2014/01/05,中山,9.8,0.78,29.9,148.0,-,35,5.76,28.93,1.93,-,16.73,54.66
723,臺北市,2014/01/04,中山,-,-,-,-,65,-,-,-,-,-,-,-
724,臺北市,2014/01/04,中山,9.6,0.99,28.1,170.0,-,46,6.59,39.31,1.56,-,18.55,56.64
725,臺北市,2014/01/03,中山,-,-,-,-,42,-,-,-,-,-,-,-
726,臺北市,2014/01/03,中山,7.8,1.25,8.7,103.0,-,79,30.29,48.26,1.38,-,20.43,74.61
727,臺北市,2014/01/02,中山,-,-,-,-,33,-,-,-,-,-,-,-
728,臺北市,2014/01/02,中山,4.2,1.52,16.6,89.0,-,99,51.04,47.87,1.34,-,21.01,68.97
729,臺北市,2014/01/01,中山,-,-,-,-,26,-,-,-,-,-,-,-
730,臺北市,2014/01/01,中山,4.2,0.79,24.1,69.0,-,47,13.76,33.13,2.02,-,18.36,66.5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
